T_amb (F), RH_amb (%), Tmains (F), Draw Volume(gal), T_tank (F), E_consumed (Btu), E_delivered (Btu), E_tankloss (Btu) 
71.0,15.3477,50.0784,[ 0.],[ 116.68552953],0,[ 0.],[ 112.49986923]
71.0,15.3477,50.0784,[ 0.],[ 116.68050949],0,[ 0.],[ 112.48750747]
71.0,15.3477,50.0784,[ 0.],[ 116.67549001],0,[ 0.],[ 112.47514707]
71.0,15.3477,50.0784,[ 0.],[ 116.67047107],0,[ 0.],[ 112.46278802]
71.0,15.3477,50.0784,[ 0.],[ 116.66545269],0,[ 0.],[ 112.45043034]
71.0,15.3477,50.0784,[ 0.],[ 116.66043486],0,[ 0.],[ 112.43807401]
71.0,15.3477,50.0784,[ 0.],[ 116.65541758],0,[ 0.],[ 112.42571904]
71.0,15.3477,50.0784,[ 0.],[ 116.65040085],0,[ 0.],[ 112.41336543]
71.0,15.3477,50.0784,[ 0.],[ 116.64538467],0,[ 0.],[ 112.40101318]
71.0,15.3477,50.0784,[ 0.],[ 116.64036905],0,[ 0.],[ 112.38866228]
71.0,15.3477,50.0784,[ 0.],[ 116.63535397],0,[ 0.],[ 112.37631274]
71.0,15.3477,50.0784,[ 0.],[ 116.63033945],0,[ 0.],[ 112.36396456]
71.0,15.3477,50.0784,[ 0.],[ 116.62532548],0,[ 0.],[ 112.35161773]
71.0,15.3477,50.0784,[ 0.],[ 116.62031205],0,[ 0.],[ 112.33927226]
71.0,15.3477,50.0784,[ 0.],[ 116.61529918],0,[ 0.],[ 112.32692815]
71.0,15.3477,50.0784,[ 0.],[ 116.61028686],0,[ 0.],[ 112.31458539]
71.0,15.3477,50.0784,[ 0.],[ 116.60527509],0,[ 0.],[ 112.30224399]
71.0,15.3477,50.0784,[ 0.],[ 116.60026388],0,[ 0.],[ 112.28990395]
71.0,15.3477,50.0784,[ 0.],[ 116.59525321],0,[ 0.],[ 112.27756526]
71.0,15.3477,50.0784,[ 0.],[ 116.59024309],0,[ 0.],[ 112.26522793]
71.0,15.3477,50.0784,[ 0.],[ 116.58523352],0,[ 0.],[ 112.25289195]
71.0,15.3477,50.0784,[ 0.],[ 116.58022451],0,[ 0.],[ 112.24055733]
71.0,15.3477,50.0784,[ 0.],[ 116.57521604],0,[ 0.],[ 112.22822407]
71.0,15.3477,50.0784,[ 0.],[ 116.57020812],0,[ 0.],[ 112.21589216]
71.0,15.3477,50.0784,[ 0.],[ 116.56520076],0,[ 0.],[ 112.2035616]
71.0,15.3477,50.0784,[ 0.],[ 116.56019394],0,[ 0.],[ 112.1912324]
71.0,15.41,50.0784,[ 0.],[ 116.55518768],0,[ 0.],[ 112.17890455]
71.0,15.41,50.0784,[ 0.],[ 116.55018196],0,[ 0.],[ 112.16657806]
71.0,15.41,50.0784,[ 0.],[ 116.5451768],0,[ 0.],[ 112.15425293]
71.0,15.41,50.0784,[ 0.],[ 116.54017218],0,[ 0.],[ 112.14192914]
71.0,15.41,50.0784,[ 0.],[ 116.53516812],0,[ 0.],[ 112.12960672]
71.0,15.41,50.0784,[ 0.],[ 116.5301646],0,[ 0.],[ 112.11728564]
71.0,15.41,50.0784,[ 0.],[ 116.52516164],0,[ 0.],[ 112.10496592]
71.0,15.41,50.0784,[ 0.],[ 116.52015922],0,[ 0.],[ 112.09264756]
71.0,15.41,50.0784,[ 0.],[ 116.51515736],0,[ 0.],[ 112.08033054]
71.0,15.41,50.0784,[ 0.],[ 116.51015604],0,[ 0.],[ 112.06801488]
71.0,15.41,50.0784,[ 0.],[ 116.50515527],0,[ 0.],[ 112.05570058]
71.0,15.41,50.0784,[ 0.],[ 116.50015506],0,[ 0.],[ 112.04338762]
71.0,15.41,50.0784,[ 0.],[ 116.49515539],0,[ 0.],[ 112.03107602]
71.0,15.41,50.0784,[ 0.],[ 116.49015627],0,[ 0.],[ 112.01876578]
71.0,15.41,50.0784,[ 0.],[ 116.4851577],0,[ 0.],[ 112.00645688]
71.0,15.41,50.0784,[ 0.],[ 116.48015968],0,[ 0.],[ 111.99414934]
71.0,15.41,50.0784,[ 0.],[ 116.47516221],0,[ 0.],[ 111.98184315]
71.0,15.41,50.0784,[ 0.],[ 116.47016529],0,[ 0.],[ 111.96953831]
71.0,15.41,50.0784,[ 0.],[ 116.46516892],0,[ 0.],[ 111.95723483]
71.0,15.41,50.0784,[ 0.],[ 116.46017309],0,[ 0.],[ 111.94493269]
71.0,15.41,50.0784,[ 0.],[ 116.45517782],0,[ 0.],[ 111.93263191]
71.0,15.41,50.0784,[ 0.],[ 116.45018309],0,[ 0.],[ 111.92033248]
71.0,15.41,50.0784,[ 0.],[ 116.44518892],0,[ 0.],[ 111.9080344]
71.0,15.41,50.0784,[ 0.],[ 116.44019529],0,[ 0.],[ 111.89573768]
71.0,15.41,50.0784,[ 0.],[ 116.43520221],0,[ 0.],[ 111.8834423]
71.0,15.41,50.0784,[ 0.],[ 116.43020968],0,[ 0.],[ 111.87114828]
71.0,15.41,50.0784,[ 0.],[ 116.4252177],0,[ 0.],[ 111.8588556]
71.0,15.41,50.0784,[ 0.],[ 116.42022626],0,[ 0.],[ 111.84656428]
71.0,15.41,50.0784,[ 0.],[ 116.41523538],0,[ 0.],[ 111.83427431]
71.0,15.41,50.0784,[ 0.],[ 116.41024504],0,[ 0.],[ 111.82198568]
71.0,15.41,50.0784,[ 0.],[ 116.40525525],0,[ 0.],[ 111.80969841]
71.0,15.41,50.0784,[ 0.],[ 116.40026601],0,[ 0.],[ 111.79741249]
71.0,15.41,50.0784,[ 0.],[ 116.39527732],0,[ 0.],[ 111.78512792]
71.0,15.41,50.0784,[ 0.],[ 116.39028918],0,[ 0.],[ 111.7728447]
71.0,15.41,50.0784,[ 0.],[ 116.38530158],0,[ 0.],[ 111.76056282]
71.0,15.41,50.0784,[ 0.],[ 116.38031454],0,[ 0.],[ 111.7482823]
71.0,15.41,50.0784,[ 0.],[ 116.37532804],0,[ 0.],[ 111.73600313]
71.0,15.41,50.0784,[ 0.],[ 116.37034209],0,[ 0.],[ 111.7237253]
71.0,15.41,50.0784,[ 0.],[ 116.36535668],0,[ 0.],[ 111.71144883]
71.0,15.41,50.0784,[ 0.],[ 116.36037183],0,[ 0.],[ 111.6991737]
71.0,15.41,50.0784,[ 0.],[ 116.35538752],0,[ 0.],[ 111.68689993]
71.0,15.41,50.0784,[ 0.52349466],[ 115.58392759],0,[ 284.60836879],[ 109.78719246]
71.0,15.41,50.0784,[ 0.],[ 115.5790286],0,[ 0.],[ 109.77512878]
71.0,15.41,50.0784,[ 0.79455059],[ 115.10698508],255.9,[ 428.8281818],[ 108.61272933]
71.0,15.41,50.0784,[ 0.],[ 115.78727396],255.9,[ 0.],[ 110.28792959]
71.0,15.41,50.0784,[ 0.],[ 116.4674881],255.9,[ 0.],[ 111.96294577]
71.0,15.41,50.0784,[ 0.],[ 117.14762749],255.9,[ 0.],[ 113.6377779]
71.0,15.41,50.0784,[ 0.],[ 117.82769215],255.9,[ 0.],[ 115.312426]
71.0,15.41,50.0784,[ 0.],[ 118.50768208],255.9,[ 0.],[ 116.98689008]
71.0,15.41,50.0784,[ 0.],[ 119.18759729],255.9,[ 0.],[ 118.66117016]
71.0,15.41,50.0784,[ 0.],[ 119.86743779],255.9,[ 0.],[ 120.33526627]
71.0,15.41,50.0784,[ 0.],[ 120.54720359],255.9,[ 0.],[ 122.00917843]
71.0,15.41,50.0784,[ 0.],[ 121.22689469],255.9,[ 0.],[ 123.68290666]
71.0,15.41,50.0784,[ 0.],[ 121.90651111],255.9,[ 0.],[ 125.35645097]
71.0,15.41,50.0784,[ 0.],[ 122.58605285],255.9,[ 0.],[ 127.02981138]
71.0,15.41,50.0784,[ 0.],[ 123.26551991],255.9,[ 0.],[ 128.70298793]
71.0,15.41,50.0784,[ 0.],[ 123.94491232],255.9,[ 0.],[ 130.37598062]
71.0,15.41,50.0784,[ 0.],[ 124.62423008],255.9,[ 0.],[ 132.04878948]
71.0,15.41,50.0784,[ 0.],125.0,[ 2.35941941],[ 0.],132.97411677
71.0,15.41,50.0784,[ 0.],[ 124.99406635],0,[ 0.],[ 132.95950525]
71.0,15.4644,50.0784,[ 0.],[ 124.98813335],0,[ 0.],[ 132.94489534]
71.0,15.4644,50.0784,[ 0.],[ 124.982201],0,[ 0.],[ 132.93028703]
71.0,15.4644,50.0784,[ 0.],[ 124.97626931],0,[ 0.],[ 132.91568032]
71.0,15.4644,50.0784,[ 0.],[ 124.97033826],0,[ 0.],[ 132.90107523]
71.0,15.4644,50.0784,[ 0.],[ 124.96440787],0,[ 0.],[ 132.88647173]
71.0,15.4644,50.0784,[ 0.],[ 124.95847813],0,[ 0.],[ 132.87186984]
71.0,15.4644,50.0784,[ 0.],[ 124.95254904],0,[ 0.],[ 132.85726956]
71.0,15.4644,50.0784,[ 0.],[ 124.9466206],0,[ 0.],[ 132.84267088]
71.0,15.4644,50.0784,[ 0.],[ 124.94069282],0,[ 0.],[ 132.8280738]
71.0,15.4644,50.0784,[ 0.],[ 124.93476568],0,[ 0.],[ 132.81347833]
71.0,15.4644,50.0784,[ 0.],[ 124.9288392],0,[ 0.],[ 132.79888446]
71.0,15.4644,50.0784,[ 0.],[ 124.92291337],0,[ 0.],[ 132.7842922]
71.0,15.4644,50.0784,[ 0.],[ 124.91698819],0,[ 0.],[ 132.76970154]
71.0,15.4644,50.0784,[ 0.],[ 124.91106366],0,[ 0.],[ 132.75511248]
71.0,15.4644,50.0784,[ 0.],[ 124.90513978],0,[ 0.],[ 132.74052502]
71.0,15.4644,50.0784,[ 0.],[ 124.89921655],0,[ 0.],[ 132.72593917]
71.0,15.4644,50.0784,[ 0.],[ 124.89329397],0,[ 0.],[ 132.71135492]
71.0,15.4644,50.0784,[ 0.],[ 124.88737205],0,[ 0.],[ 132.69677228]
71.0,15.4644,50.0784,[ 0.],[ 124.88145077],0,[ 0.],[ 132.68219123]
71.0,15.4644,50.0784,[ 0.],[ 124.87553015],0,[ 0.],[ 132.66761179]
71.0,15.4644,50.0784,[ 0.],[ 124.86961017],0,[ 0.],[ 132.65303395]
71.0,15.4644,50.0784,[ 0.],[ 124.86369085],0,[ 0.],[ 132.63845771]
71.0,15.4644,50.0784,[ 0.],[ 124.85777217],0,[ 0.],[ 132.62388307]
71.0,15.4644,50.0784,[ 0.],[ 124.85185415],0,[ 0.],[ 132.60931004]
71.0,15.4644,50.0784,[ 0.],[ 124.84593678],0,[ 0.],[ 132.59473861]
71.0,15.4644,50.0784,[ 0.],[ 124.84002006],0,[ 0.],[ 132.58016877]
71.0,15.4644,50.0784,[ 0.],[ 124.83410398],0,[ 0.],[ 132.56560054]
71.0,15.4644,50.0784,[ 0.],[ 124.82818856],0,[ 0.],[ 132.55103391]
71.0,15.4644,50.0784,[ 0.],[ 124.82227379],0,[ 0.],[ 132.53646888]
71.0,15.4644,50.0784,[ 0.],[ 124.81635967],0,[ 0.],[ 132.52190545]
71.0,15.4644,50.0784,[ 0.],[ 124.81044619],0,[ 0.],[ 132.50734362]
71.0,15.4644,50.0784,[ 0.],[ 124.80453337],0,[ 0.],[ 132.49278339]
71.0,15.4644,50.0784,[ 0.],[ 124.7986212],0,[ 0.],[ 132.47822476]
71.0,15.4644,50.0784,[ 0.],[ 124.79270967],0,[ 0.],[ 132.46366773]
71.0,15.4644,50.0784,[ 0.],[ 124.7867988],0,[ 0.],[ 132.4491123]
71.0,15.4644,50.0784,[ 0.],[ 124.78088858],0,[ 0.],[ 132.43455847]
71.0,15.4644,50.0784,[ 0.],[ 124.774979],0,[ 0.],[ 132.42000624]
71.0,15.4644,50.0784,[ 0.],[ 124.76907008],0,[ 0.],[ 132.40545561]
71.0,15.4644,50.0784,[ 0.],[ 124.7631618],0,[ 0.],[ 132.39090657]
71.0,15.4644,50.0784,[ 0.],[ 124.75725417],0,[ 0.],[ 132.37635914]
71.0,15.4644,50.0784,[ 0.],[ 124.75134719],0,[ 0.],[ 132.3618133]
71.0,15.4644,50.0784,[ 0.],[ 124.74544087],0,[ 0.],[ 132.34726906]
71.0,15.4644,50.0784,[ 0.],[ 124.73953519],0,[ 0.],[ 132.33272642]
71.0,15.4644,50.0784,[ 0.],[ 124.73363015],0,[ 0.],[ 132.31818538]
71.0,15.4644,50.0784,[ 0.],[ 124.72772577],0,[ 0.],[ 132.30364594]
71.0,15.4644,50.0784,[ 0.],[ 124.72182204],0,[ 0.],[ 132.28910809]
71.0,15.4644,50.0784,[ 0.],[ 124.71591895],0,[ 0.],[ 132.27457184]
71.0,15.4644,50.0784,[ 0.],[ 124.71001652],0,[ 0.],[ 132.26003719]
71.0,15.4644,50.0784,[ 0.],[ 124.70411473],0,[ 0.],[ 132.24550413]
71.0,15.4644,50.0784,[ 0.],[ 124.69821359],0,[ 0.],[ 132.23097268]
71.0,15.4644,50.0784,[ 0.],[ 124.6923131],0,[ 0.],[ 132.21644282]
71.0,15.4644,50.0784,[ 0.],[ 124.68641326],0,[ 0.],[ 132.20191455]
71.0,15.4644,50.0784,[ 0.],[ 124.68051407],0,[ 0.],[ 132.18738788]
71.0,15.4644,50.0784,[ 0.],[ 124.67461552],0,[ 0.],[ 132.17286281]
71.0,15.4644,50.0784,[ 0.],[ 124.66871762],0,[ 0.],[ 132.15833934]
71.0,15.4644,50.0784,[ 0.],[ 124.66282037],0,[ 0.],[ 132.14381746]
71.0,15.4644,50.0784,[ 0.],[ 124.65692377],0,[ 0.],[ 132.12929717]
71.0,15.4644,50.0784,[ 0.],[ 124.65102782],0,[ 0.],[ 132.11477848]
71.0,15.4644,50.0784,[ 0.],[ 124.64513251],0,[ 0.],[ 132.10026139]
71.0,15.4644,50.0784,[ 0.],[ 124.63923786],0,[ 0.],[ 132.08574589]
71.0,15.4866,50.0784,[ 0.],[ 124.63334385],0,[ 0.],[ 132.07123199]
71.0,15.4866,50.0784,[ 0.],[ 124.62745048],0,[ 0.],[ 132.05671968]
71.0,15.4866,50.0784,[ 0.],[ 124.62155777],0,[ 0.],[ 132.04220897]
71.0,15.4866,50.0784,[ 0.],[ 124.6156657],0,[ 0.],[ 132.02769985]
71.0,15.4866,50.0784,[ 0.],[ 124.60977428],0,[ 0.],[ 132.01319232]
71.0,15.4866,50.0784,[ 0.],[ 124.60388351],0,[ 0.],[ 131.99868639]
71.0,15.4866,50.0784,[ 0.],[ 124.59799338],0,[ 0.],[ 131.98418205]
71.0,15.4866,50.0784,[ 0.],[ 124.59210391],0,[ 0.],[ 131.96967931]
71.0,15.4866,50.0784,[ 0.],[ 124.58621508],0,[ 0.],[ 131.95517816]
71.0,15.4866,50.0784,[ 0.],[ 124.58032689],0,[ 0.],[ 131.9406786]
71.0,15.4866,50.0784,[ 0.],[ 124.57443935],0,[ 0.],[ 131.92618064]
71.0,15.4866,50.0784,[ 0.],[ 124.56855246],0,[ 0.],[ 131.91168427]
71.0,15.4866,50.0784,[ 0.],[ 124.56266622],0,[ 0.],[ 131.89718949]
71.0,15.4866,50.0784,[ 0.],[ 124.55678063],0,[ 0.],[ 131.88269631]
71.0,15.4866,50.0784,[ 0.],[ 124.55089568],0,[ 0.],[ 131.86820472]
71.0,15.4866,50.0784,[ 0.],[ 124.54501137],0,[ 0.],[ 131.85371472]
71.0,15.4866,50.0784,[ 0.],[ 124.53912772],0,[ 0.],[ 131.83922631]
71.0,15.4866,50.0784,[ 0.],[ 124.53324471],0,[ 0.],[ 131.8247395]
71.0,15.4866,50.0784,[ 0.],[ 124.52736234],0,[ 0.],[ 131.81025427]
71.0,15.4866,50.0784,[ 0.],[ 124.52148063],0,[ 0.],[ 131.79577064]
71.0,15.4866,50.0784,[ 0.],[ 124.51559956],0,[ 0.],[ 131.7812886]
71.0,15.4866,50.0784,[ 0.],[ 124.50971913],0,[ 0.],[ 131.76680815]
71.0,15.4866,50.0784,[ 0.],[ 124.50383935],0,[ 0.],[ 131.7523293]
71.0,15.4866,50.0784,[ 0.],[ 124.49796022],0,[ 0.],[ 131.73785203]
71.0,15.4866,50.0784,[ 0.],[ 124.49208174],0,[ 0.],[ 131.72337635]
71.0,15.4866,50.0784,[ 0.],[ 124.4862039],0,[ 0.],[ 131.70890227]
71.0,15.4866,50.0784,[ 0.0310369],[ 124.42902952],0,[ 19.15227558],[ 131.56811131]
71.0,15.4866,50.0784,[ 0.],[ 124.42315861],0,[ 0.],[ 131.55365429]
71.0,15.4866,50.0784,[ 0.],[ 124.41728835],0,[ 0.],[ 131.53919885]
71.0,15.4866,50.0784,[ 0.],[ 124.41141872],0,[ 0.],[ 131.524745]
71.0,15.4866,50.0784,[ 0.],[ 124.40554975],0,[ 0.],[ 131.51029275]
71.0,15.4866,50.0784,[ 0.],[ 124.39968142],0,[ 0.],[ 131.49584207]
71.0,15.4866,50.0784,[ 0.26015489],[ 123.96542613],0,[ 159.53560821],[ 130.42649553]
71.0,15.4866,50.0784,[ 0.],[ 123.95960616],0,[ 0.],[ 130.41216395]
71.0,15.4866,50.0784,[ 0.],[ 123.95378683],0,[ 0.],[ 130.39783395]
71.0,15.4866,50.0784,[ 0.],[ 123.94796814],0,[ 0.],[ 130.38350552]
71.0,15.4866,50.0784,[ 0.],[ 123.94215009],0,[ 0.],[ 130.36917866]
71.0,15.4866,50.0784,[ 0.],[ 123.93633267],0,[ 0.],[ 130.35485338]
71.0,15.4866,50.0784,[ 0.],[ 123.9305159],0,[ 0.],[ 130.34052967]
71.0,15.4866,50.0784,[ 0.],[ 123.92469977],0,[ 0.],[ 130.32620753]
71.0,15.4866,50.0784,[ 0.],[ 123.91888427],0,[ 0.],[ 130.31188697]
71.0,15.4866,50.0784,[ 0.],[ 123.91306942],0,[ 0.],[ 130.29756798]
71.0,15.4866,50.0784,[ 0.],[ 123.9072552],0,[ 0.],[ 130.28325057]
71.0,15.4866,50.0784,[ 0.],[ 123.90144162],0,[ 0.],[ 130.26893473]
71.0,15.4866,50.0784,[ 0.],[ 123.89562868],0,[ 0.],[ 130.25462046]
71.0,15.4866,50.0784,[ 0.],[ 123.88981638],0,[ 0.],[ 130.24030777]
71.0,15.4866,50.0784,[ 0.],[ 123.88400472],0,[ 0.],[ 130.22599665]
71.0,15.4866,50.0784,[ 0.],[ 123.8781937],0,[ 0.],[ 130.2116871]
71.0,15.4866,50.0784,[ 0.],[ 123.87238331],0,[ 0.],[ 130.19737912]
71.0,15.4866,50.0784,[ 0.],[ 123.86657357],0,[ 0.],[ 130.18307271]
71.0,15.4866,50.0784,[ 0.],[ 123.86076446],0,[ 0.],[ 130.16876788]
71.0,15.4866,50.0784,[ 0.],[ 123.85495599],0,[ 0.],[ 130.15446462]
71.0,15.4866,50.0784,[ 0.],[ 123.84914816],0,[ 0.],[ 130.14016293]
71.0,15.4866,50.0784,[ 0.],[ 123.84334096],0,[ 0.],[ 130.12586281]
71.0,15.4866,50.0784,[ 0.],[ 123.83753441],0,[ 0.],[ 130.11156427]
71.0,15.4866,50.0784,[ 0.],[ 123.83172849],0,[ 0.],[ 130.09726729]
71.0,15.4866,50.0784,[ 0.],[ 123.82592321],0,[ 0.],[ 130.08297189]
71.0,15.4866,50.0784,[ 0.],[ 123.82011857],0,[ 0.],[ 130.06867805]
71.0,15.4866,50.0784,[ 0.],[ 123.81431457],0,[ 0.],[ 130.05438579]
71.0,15.4866,50.0784,[ 0.],[ 123.8085112],0,[ 0.],[ 130.0400951]
71.0,15.469,50.0784,[ 0.],[ 123.80270848],0,[ 0.],[ 130.02580598]
71.0,15.469,50.0784,[ 0.],[ 123.79690639],0,[ 0.],[ 130.01151842]
71.0,15.469,50.0784,[ 0.],[ 123.79110493],0,[ 0.],[ 129.99723244]
71.0,15.469,50.0784,[ 0.],[ 123.78530412],0,[ 0.],[ 129.98294803]
71.0,15.469,50.0784,[ 0.],[ 123.77950394],0,[ 0.],[ 129.96866519]
71.0,15.469,50.0784,[ 0.],[ 123.7737044],0,[ 0.],[ 129.95438391]
71.0,15.469,50.0784,[ 0.],[ 123.7679055],0,[ 0.],[ 129.94010421]
71.0,15.469,50.0784,[ 0.],[ 123.76210723],0,[ 0.],[ 129.92582607]
71.0,15.469,50.0784,[ 0.],[ 123.7563096],0,[ 0.],[ 129.91154951]
71.0,15.469,50.0784,[ 0.],[ 123.75051261],0,[ 0.],[ 129.89727451]
71.0,15.469,50.0784,[ 0.],[ 123.74471626],0,[ 0.],[ 129.88300108]
71.0,15.469,50.0784,[ 0.],[ 123.73892054],0,[ 0.],[ 129.86872922]
71.0,15.469,50.0784,[ 0.],[ 123.73312546],0,[ 0.],[ 129.85445893]
71.0,15.469,50.0784,[ 0.],[ 123.72733101],0,[ 0.],[ 129.84019021]
71.0,15.469,50.0784,[ 0.],[ 123.72153721],0,[ 0.],[ 129.82592305]
71.0,15.469,50.0784,[ 0.],[ 123.71574404],0,[ 0.],[ 129.81165746]
71.0,15.469,50.0784,[ 0.],[ 123.7099515],0,[ 0.],[ 129.79739344]
71.0,15.469,50.0784,[ 0.],[ 123.7041596],0,[ 0.],[ 129.78313099]
71.0,15.469,50.0784,[ 0.],[ 123.69836834],0,[ 0.],[ 129.7688701]
71.0,15.469,50.0784,[ 0.],[ 123.69257772],0,[ 0.],[ 129.75461078]
71.0,15.469,50.0784,[ 0.],[ 123.68678773],0,[ 0.],[ 129.74035303]
71.0,15.469,50.0784,[ 0.],[ 123.68099838],0,[ 0.],[ 129.72609684]
71.0,15.469,50.0784,[ 0.],[ 123.67520966],0,[ 0.],[ 129.71184222]
71.0,15.469,50.0784,[ 0.],[ 123.66942158],0,[ 0.],[ 129.69758917]
71.0,15.469,50.0784,[ 0.],[ 123.66363413],0,[ 0.],[ 129.68333768]
71.0,15.469,50.0784,[ 0.],[ 123.65784733],0,[ 0.],[ 129.66908776]
71.0,15.469,50.0784,[ 0.],[ 123.65206115],0,[ 0.],[ 129.65483941]
71.0,15.469,50.0784,[ 0.],[ 123.64627562],0,[ 0.],[ 129.64059262]
71.0,15.469,50.0784,[ 0.],[ 123.64049072],0,[ 0.],[ 129.6263474]
71.0,15.469,50.0784,[ 0.],[ 123.63470645],0,[ 0.],[ 129.61210374]
71.0,15.469,50.0784,[ 0.],[ 123.62892282],0,[ 0.],[ 129.59786164]
71.0,15.469,50.0784,[ 0.],[ 123.62313983],0,[ 0.],[ 129.58362112]
71.0,15.469,50.0784,[ 0.],[ 123.61735747],0,[ 0.],[ 129.56938215]
71.0,15.469,50.0784,[ 0.],[ 123.61157575],0,[ 0.],[ 129.55514475]
71.0,15.469,50.0784,[ 0.],[ 123.60579466],0,[ 0.],[ 129.54090892]
71.0,15.469,50.0784,[ 0.],[ 123.6000142],0,[ 0.],[ 129.52667465]
71.0,15.469,50.0784,[ 0.],[ 123.59423439],0,[ 0.],[ 129.51244194]
71.0,15.469,50.0784,[ 0.],[ 123.5884552],0,[ 0.],[ 129.4982108]
71.0,15.469,50.0784,[ 0.],[ 123.58267666],0,[ 0.],[ 129.48398122]
71.0,15.469,50.0784,[ 0.],[ 123.57689874],0,[ 0.],[ 129.46975321]
71.0,15.469,50.0784,[ 0.],[ 123.57112147],0,[ 0.],[ 129.45552675]
71.0,15.469,50.0784,[ 0.],[ 123.56534482],0,[ 0.],[ 129.44130187]
71.0,15.469,50.0784,[ 0.],[ 123.55956882],0,[ 0.],[ 129.42707854]
71.0,15.469,50.0784,[ 0.],[ 123.55379344],0,[ 0.],[ 129.41285678]
71.0,15.469,50.0784,[ 0.],[ 123.5480187],0,[ 0.],[ 129.39863658]
71.0,15.469,50.0784,[ 0.],[ 123.5422446],0,[ 0.],[ 129.38441794]
71.0,15.469,50.0784,[ 0.],[ 123.53647113],0,[ 0.],[ 129.37020087]
71.0,15.469,50.0784,[ 0.],[ 123.5306983],0,[ 0.],[ 129.35598535]
71.0,15.469,50.0784,[ 0.],[ 123.52492609],0,[ 0.],[ 129.3417714]
71.0,15.469,50.0784,[ 0.],[ 123.51915453],0,[ 0.],[ 129.32755901]
71.0,15.469,50.0784,[ 0.],[ 123.51338359],0,[ 0.],[ 129.31334819]
71.0,15.469,50.0784,[ 0.],[ 123.5076133],0,[ 0.],[ 129.29913892]
71.0,15.469,50.0784,[ 0.],[ 123.50184363],0,[ 0.],[ 129.28493122]
71.0,15.469,50.0784,[ 0.],[ 123.4960746],0,[ 0.],[ 129.27072508]
71.0,15.469,50.0784,[ 0.],[ 123.49030621],0,[ 0.],[ 129.25652049]
71.0,15.469,50.0784,[ 0.],[ 123.48453844],0,[ 0.],[ 129.24231747]
71.0,15.469,50.0784,[ 0.],[ 123.47877131],0,[ 0.],[ 129.22811601]
71.0,15.469,50.0784,[ 0.],[ 123.47300482],0,[ 0.],[ 129.21391611]
71.0,15.469,50.0784,[ 0.],[ 123.46723896],0,[ 0.],[ 129.19971777]
71.0,15.469,50.0784,[ 0.],[ 123.46147373],0,[ 0.],[ 129.18552099]
71.0,15.3123,50.0784,[ 0.],[ 123.45570913],0,[ 0.],[ 129.17132577]
71.0,15.3123,50.0784,[ 0.],[ 123.44994517],0,[ 0.],[ 129.15713211]
71.0,15.3123,50.0784,[ 0.],[ 123.44418185],0,[ 0.],[ 129.14294001]
71.0,15.3123,50.0784,[ 0.],[ 123.43841915],0,[ 0.],[ 129.12874947]
71.0,15.3123,50.0784,[ 0.],[ 123.43265709],0,[ 0.],[ 129.11456049]
71.0,15.3123,50.0784,[ 0.],[ 123.42689566],0,[ 0.],[ 129.10037307]
71.0,15.3123,50.0784,[ 0.],[ 123.42113487],0,[ 0.],[ 129.08618721]
71.0,15.3123,50.0784,[ 0.],[ 123.41537471],0,[ 0.],[ 129.0720029]
71.0,15.3123,50.0784,[ 0.],[ 123.40961518],0,[ 0.],[ 129.05782016]
71.0,15.3123,50.0784,[ 0.],[ 123.40385628],0,[ 0.],[ 129.04363897]
71.0,15.3123,50.0784,[ 0.],[ 123.39809802],0,[ 0.],[ 129.02945934]
71.0,15.3123,50.0784,[ 0.],[ 123.39234039],0,[ 0.],[ 129.01528127]
71.0,15.3123,50.0784,[ 0.],[ 123.38658339],0,[ 0.],[ 129.00110476]
71.0,15.3123,50.0784,[ 0.],[ 123.38082702],0,[ 0.],[ 128.9869298]
71.0,15.3123,50.0784,[ 0.],[ 123.37507129],0,[ 0.],[ 128.9727564]
71.0,15.3123,50.0784,[ 0.],[ 123.36931619],0,[ 0.],[ 128.95858456]
71.0,15.3123,50.0784,[ 0.],[ 123.36356172],0,[ 0.],[ 128.94441428]
71.0,15.3123,50.0784,[ 0.],[ 123.35780789],0,[ 0.],[ 128.93024555]
71.0,15.3123,50.0784,[ 0.],[ 123.35205468],0,[ 0.],[ 128.91607838]
71.0,15.3123,50.0784,[ 0.],[ 123.34630211],0,[ 0.],[ 128.90191277]
71.0,15.3123,50.0784,[ 0.],[ 123.34055017],0,[ 0.],[ 128.88774872]
71.0,15.3123,50.0784,[ 0.],[ 123.33479887],0,[ 0.],[ 128.87358622]
71.0,15.3123,50.0784,[ 0.],[ 123.32904819],0,[ 0.],[ 128.85942527]
71.0,15.3123,50.0784,[ 0.],[ 123.32329815],0,[ 0.],[ 128.84526589]
71.0,15.3123,50.0784,[ 0.],[ 123.31754874],0,[ 0.],[ 128.83110805]
71.0,15.3123,50.0784,[ 0.],[ 123.31179996],0,[ 0.],[ 128.81695178]
71.0,15.3123,50.0784,[ 0.],[ 123.30605181],0,[ 0.],[ 128.80279706]
71.0,15.3123,50.0784,[ 0.],[ 123.30030429],0,[ 0.],[ 128.78864389]
71.0,15.3123,50.0784,[ 0.],[ 123.29455741],0,[ 0.],[ 128.77449228]
71.0,15.3123,50.0784,[ 0.],[ 123.28881116],0,[ 0.],[ 128.76034223]
71.0,15.3123,50.0784,[ 0.],[ 123.28306553],0,[ 0.],[ 128.74619373]
